第一世代(1972－1977)
Odyssey（奥德赛）


第二世代(1976-1983)
(Atari) 2600

第三世代(1983-1987)

Nintendo 

Family computer 

第四世代(1987-1994)
1987年，SEGA（世嘉）公司在日本推出Mega Drive(MD，美国称Genesis)
NEC也联合Hudson推出了PC-Engine。这是第一台可加装CD-ROM的游戏机
Super family computer 
1991年8月13日，任天堂在美国推出了将SFC重新设计的Super Nintendo Entertainment System(SNES)

第五世代(1994-2002)
1992年，世嘉（SEGA）成立了“Giga-Drive”研发项目，开发了“SEGA Saturn (SS，土星）

1994年12月3日，PlayStation(PS)正式发售
PlayStation1代(PS1)
Nintendo 64

第六世代(1998-2004)
Dreamcast(DC)—梦(Dream)与传播(Broadcast)的合成词。意思是将梦传播给玩家
PlayStation 2(PS2)
任天堂NGC

2001年11月15日，微软发布了Xbox游戏主机

第七世代(2005----至今)

2005年5月，Sony正式发表PlayStation 3(PS3)




Wii 
Wii U

Sony 
PlayStation 
PlayStation 2
PlayStation 3
PlayStation 4

Microsoft 

Xbox 
Xbox360
Xbox one 




Emulators
name score
Mesen 8.9 
Nestopia UE 8.7
Jnes  8.6
FCEUX  8.3
VirtuaNES  8.2
BizHawk 8.1 




Dungeon & Magic: Sword of Element	Dungeon Magic: Sword of the Elements	November 10, 1989	Natsume
Dynamite Batman	Batman: Return of the Joker	December 20, 1991	Sunsoft
Dynamite Bowl	—	May 24, 1987	Toshiba EMI
Eggerland: Meikyū no Fukkatsu	—	August 9, 1988	HAL
Egypt	—	May 31, 1991	Human Entertainment
Elevator Action	Elevator Action	June 28, 1985	Taito
Elnark no Zaihou	—	August 10, 1987	Towachiki
Elysion	—	April 28, 1988	Tokyo Shoseki
Emoyan no 10-bai Pro Yakyuu	—	December 19, 1989	Hect
Erika to Satoru no Yume Bōken	—	September 27, 1988	Namco
Esper Boukentai	—	October 13, 1987	Jaleco
Esper Dream 2	—	June 26, 1992	Konami
Excitebike	Excitebike	November 30, 1984	Nintendo
Exciting Boxing	—	December 16, 1987	Konami
Exciting Rally	Championship Rally	April 24, 1992	HAL
Exed Exes	—	December 21, 1985	Tokuma Shoten
Exerion	—	February 11, 1985	Jaleco
F1 Circus	—	February 7, 1992	Nihon Bussan
F-1 Sensation	Formula 1 Sensation (EU only)	January 29, 1993	Konami
F-1 Race	—	November 2, 1984	Nintendo
Famicom Igo Nyuumon	—	November 29, 1991	I'Max
Famicom Jump: Hero Retsuden	—	February 15, 1989	Bandai
Famicom Jump II: The Strongest Seven	—	December 2, 1991	Bandai
Famicom Meijinsen	—	September 2, 1988	SNK
Famicom Shougi: Ryuu-Ou-Sen	—	February 15, 1991	I'Max
Famicom Top Management	—	December 12, 1990	Koei
Famicom Wars	—	August 12, 1988	Nintendo
Famicom Yakyuuban	—	December 15, 1989	Epoch
Family Block	Thunder & Lightning	April 12, 1991	Athena
Family Boxing	Ring King	June 19, 1987	Namco
Family Circuit	—	February 6, 1988	Namco
Family Circuit '91	—	July 19, 1991	Namco
Family Computer Othello	Othello	November 13, 1986	Kawada, Co. Ltd
Family Jockey	—	April 24, 1987	Namco
Family Mahjong	—	August 11, 1987	Namco
Family Mahjong II: Shanghai he no Michi	—	November 25, 1988	Namco
Family Pinball	Rock 'n Ball	March 24, 1989	Namco
Family Quiz	—	November 16, 1988	Athena
Family Tennis	—	December 11, 1987	Namco
Family Trainer: Aerobics Studio	Dance Aerobics	February 26, 1987	Bandai
Family Trainer: Athletic World	Athletic World	November 12, 1986	Bandai
Family Trainer: Daiundōkai	Super Team Games	November 27, 1987	Bandai
Family Trainer: Fuuun! Takeshi Shiro 2	—	December 20, 1988	Bandai
Family Trainer: Jogging Race	—	May 28, 1987	Bandai
Family Trainer: Manhattan Police	Street Cop	August 31, 1987	Bandai
Family Trainer: Meiro Daisakusen	—	July 31, 1987	Bandai
Family Trainer: Rai Rai! Kyonshizu: Baby Kyonshi no Amida Daibouken	—	January 26, 1988	Bandai
Family Trainer: Running Stadium	Stadium Events/World Class Track Meet	December 23, 1986	Bandai
Family Trainer: Totsugeki! Fuuun Takeshi Shiro	—	December 28, 1987	Bandai
Famista '89 Kaimaku Ban!!	—	July 28, 1989	Namco
Famista '90	—	December 19, 1989	Namco
Famista '91	—	December 21, 1990	Namco
Famista '92	—	December 20, 1991	Namco
Famista '93	—	December 22, 1992	Namco
Famista '94	—	December 1, 1993	Namco
Fantasy Zone	Fantasy Zone (unlicensed)	July 20, 1987	Sunsoft
Fantasy Zone 2: The Teardrop of Opa-Opa	—	December 20, 1988	Sunsoft
Faria Fuuin no Tsurugi	Faria: A World of Mystery and Danger	July 21, 1989	Hi-Score Media Work
Faxanadu	Faxanadu	November 16, 1987	Hudson Soft
FC Genjin	Bonk's Adventure	July 30, 1993	Hudson Soft
Ferrari	Ferrari Grand Prix Challenge	November 13, 1992	Coconuts Japan
